THSMSTRAKM;KDPTITRAKM;KDJENTRAKM;KDPSTTRKAM;NIMHSTRKAM;SKSEMTRAKM;NLIPSTRAKM;SKSTTTRAKM;NLIPKTRAKM
20132;071079;C;200;201012218;10;4.00;140;3.14
20132;071079;C;200;201111001;24;2.23;113;1.95
20132;071079;C;200;201111002;21;4.00;118;3.43
20132;071079;C;200;201111003;21;3.70;118;3.20
20132;071079;C;200;201111006;23;0.00;106;2.95
20132;071079;C;200;201111007;21;4.00;118;3.53
20132;071079;C;200;201111012;21;3.70;116;3.28
20132;071079;C;200;201111013;21;0.00;115;3.15
20132;071079;C;200;201111014;24;3.50;118;2.83
20132;071079;C;200;201111016;21;4.00;118;3.59
20132;071079;C;200;201111019;21;3.70;118;3.20
20132;071079;C;200;201111020;21;0.00;115;2.97
20132;071079;C;200;201111021;21;3.70;118;3.22
20132;071079;C;200;201111022;21;3.70;118;3.43
20132;071079;C;200;201111023;21;3.30;118;3.31
20132;071079;C;200;201111024;21;0.00;115;3.01
20132;071079;C;200;201111025;24;3.00;118;2.95
20132;071079;C;200;201111026;21;0.00;115;3.15
20132;071079;C;200;201111029;21;3.90;113;3.17
20132;071079;C;200;201111030;24;2.70;109;2.70
20132;071079;C;200;201111031;24;3.00;112;2.72
20132;071079;C;200;201111033;21;3.30;118;3.16
20132;071079;C;200;201111035;21;3.70;118;3.10
20132;071079;C;200;201111037;21;2.30;118;3.25
20132;071079;C;200;201111040;21;0.00;115;2.96
20132;071079;C;200;201111045;21;0.00;80;0.59
20132;071079;C;200;201111046;24;3.35;118;2.99
20132;071079;C;200;201111047;24;3.00;109;2.99
20132;071079;C;200;201111048;21;2.43;111;2.56
20132;071079;C;200;201111053;24;3.30;118;2.97
20132;071079;C;200;201111055;21;3.23;111;2.70
20132;071079;C;200;201111056;24;3.00;112;2.83
20132;071079;C;200;201111058;21;0.00;115;3.05
20132;071079;C;200;201111059;21;3.70;118;3.44
20132;071079;C;200;201111065;24;4.00;118;3.25
20132;071079;C;200;201111067;24;3.70;115;3.18
20132;071079;C;200;201111068;21;3.70;118;3.26
20132;071079;C;200;201111070;8;0.00;14;0.00
20132;071079;C;200;201111072;23;2.08;101;2.48
20132;071079;C;200;201111075;24;1.85;109;2.54
20132;071079;C;200;201111076;23;3.80;114;2.85
20132;071079;C;200;201111077;23;3.23;117;3.00
20132;071079;C;200;201111082;24;0.00;115;2.70
20132;071079;C;200;201111083;24;3.30;118;3.02
20132;071079;C;200;201111084;21;3.70;112;3.02
20132;071079;C;200;201111095;21;2.10;111;2.31
20132;071079;C;200;201111096;23;0.00;101;0.55
20132;071079;C;200;201111097;21;0.00;110;3.44
20132;071079;C;200;201111098;24;3.00;70;0.90
20132;071079;C;200;201111101;21;0.00;112;1.65
20132;071079;C;200;201111105;24;3.00;115;2.83
20132;071079;C;200;201111107;21;0.00;113;3.53
20132;071079;C;200;201111111;23;0.00;113;3.28
20132;071079;C;200;201111113;21;3.67;117;3.08
20132;071079;C;200;201111116;21;0.00;113;3.84
20132;071079;C;200;201111119;21;0.00;113;2.60
20132;071079;C;200;201111120;21;0.00;107;1.72
20132;071079;C;200;201111121;23;0.00;113;2.91
20132;071079;C;200;201111122;21;0.00;113;3.22
20132;071079;C;200;201111124;21;0.00;113;3.49
20132;071079;C;200;201111125;23;0.00;113;2.79
20132;071079;C;200;201111126;24;2.10;92;2.56
20132;071079;C;200;201111129;21;0.00;113;3.41
20132;071079;C;200;201111130;23;0.00;105;2.35
20132;071079;C;200;201111135;24;0.00;110;3.11
20132;071079;C;200;201111136;21;0.00;110;3.45
20132;071079;C;200;201111141;23;2.20;117;2.76
20132;071079;C;200;201111152;21;2.87;111;2.87
20132;071079;C;200;201111155;24;0.00;111;2.59
20132;071079;C;200;201111156;24;0.00;111;2.28
20132;071079;C;200;201111159;23;1.43;106;2.58
20132;071079;C;200;201111160;21;1.33;106;2.49
20132;071079;C;200;201111163;21;4.00;113;3.30
20132;071079;C;200;201111166;21;0.00;111;2.73
20132;071079;C;200;201111170;21;3.67;113;3.66
20132;071079;C;200;201111171;21;3.77;113;3.40
20132;071079;C;200;201111177;21;0.00;110;3.70
20132;071079;C;200;201111178;24;0.00;107;2.12
20132;071079;C;200;201111180;21;0.00;110;3.55
20132;071079;C;200;201111183;21;0.00;110;3.29
20132;071079;C;200;201111186;17;4.00;165;3.38
20132;071079;C;200;201111190;23;0.00;111;2.48
20132;071079;C;200;201111191;24;3.70;111;2.89
20132;071079;C;200;201111194;23;0.00;110;2.77
20132;071079;C;200;201111195;21;0.00;110;3.37
20132;071079;C;200;201111197;21;3.58;122;3.31
20132;071079;C;200;201111203;21;0.00;101;1.50
20132;071079;C;200;201111207;24;2.00;105;2.25
20132;071079;C;200;201111209;21;0.00;111;2.87
20132;071079;C;200;201111211;21;0.00;110;3.27
20132;071079;C;200;201111218;21;3.57;119;3.38
20132;071079;C;200;201111224;24;0.00;118;2.85
20132;071079;C;200;201111225;21;4.00;162;2.78
20132;071079;C;200;201111227;17;3.50;106;3.22
20132;071079;C;200;201111231;24;3.40;93;2.77
20132;071079;C;200;201111233;24;2.67;116;2.24
20132;071079;C;200;201111237;24;0.00;98;1.81
20132;071079;C;200;201111238;20;0.00;108;0.74
20132;071079;C;200;201111245;18;2.33;108;2.94
20132;071079;C;200;201111246;23;3.57;114;3.03
20132;071079;C;200;201111247;23;3.90;113;3.35
20132;071079;C;200;201111250;21;0.77;117;2.75
20132;071079;C;200;201111254;21;0.00;110;3.22
20132;071079;C;200;201111257;21;3.57;119;3.35
20132;071079;C;200;201111261;6;0.00;245;2.95
20132;071079;C;200;201111267;6;0.00;241;2.30
20132;071079;C;200;201111269;18;2.00;94;2.82
20132;071079;C;200;201111270;18;2.30;94;2.91
20132;071079;C;200;201111271;20;2.40;94;3.59
20132;071079;C;200;201111281;24;0.00;134;2.33
20132;071079;C;200;201111290;23;3.26;167;3.58
20132;071079;C;200;201111296;20;2.40;94;3.52
20132;071079;C;200;201111302;18;4.00;94;3.53
20132;071079;C;200;201111307;20;1.20;52;1.71
20132;071079;C;200;201111311;18;3.30;94;2.90
20132;071079;C;200;201111312;21;0.00;211;
20132;071079;C;200;201111315;18;0.00;94;2.72
20132;071079;C;200;201111317;18;2.00;94;3.41
20132;071079;C;200;201111321;21;3.50;168;3.06
20132;071079;C;200;201112002;21;3.90;118;3.51
20132;071079;C;200;201112003;21;4.00;115;3.70
20132;071079;C;200;201112004;24;3.13;114;2.37
20132;071079;C;200;201112005;21;3.90;118;3.71
20132;071079;C;200;201112006;21;3.90;118;3.47
20132;071079;C;200;201112008;24;3.23;109;2.30
20132;071079;C;200;201112015;21;3.50;113;3.42
20132;071079;C;200;201112016;21;3.65;113;3.64
20132;071079;C;200;201112017;24;3.23;115;3.14
20132;071079;C;200;201112019;21;3.35;115;2.97
20132;071079;C;200;201112022;21;3.35;115;3.27
20132;071079;C;200;201112025;24;3.33;116;2.46
20132;071079;C;200;201112026;24;3.33;118;2.66
20132;071079;C;200;201112030;20;3.90;119;3.53
20132;071079;C;200;201112032;21;3.50;113;3.33
20132;071079;C;200;201112035;21;3.35;113;2.87
20132;071079;C;200;201112036;24;3.43;115;3.29
20132;071079;C;200;201112037;21;3.85;115;3.46
20132;071079;C;200;201112038;21;4.00;115;3.66
20132;071079;C;200;201112041;21;3.65;113;3.55
20132;071079;C;200;201112042;24;3.43;113;3.03
20132;071079;C;200;201112045;23;4.00;108;2.95
20132;071079;C;200;201112047;21;3.85;115;3.46
20132;071079;C;200;201112050;21;3.67;116;3.32
20132;071079;C;200;201112051;24;3.43;115;3.08
20132;071079;C;200;201112052;21;3.00;113;2.62
20132;071079;C;200;201112058;21;3.65;115;3.42
